service_id,date,exception_type
67901,20260703,2
67902,20260703,2
67903,20260703,2
67904,20260704,2
67905,20260703,2
67906,20260703,2
67907,20260704,2
67908,20260704,2
67909,20260703,1
67910,20260704,2
67911,20260703,2
67912,20260704,2
67913,20260703,2
67914,20260704,2
67915,20260704,1
67916,20260703,2
67917,20260704,2
67918,20260703,2
67919,20260704,2
67920,20260703,2
67921,20260704,2
67922,20260703,2
67923,20260704,2
67924,20260703,2
67925,20260704,2
67926,20260703,2
67927,20260704,2
67928,20260703,2
67929,20260704,2
67930,20260703,2
67931,20260704,2
67932,20260703,2
67933,20260704,2
67934,20260703,2
67935,20260704,2
67936,20260703,2
67937,20260704,2
67938,20260704,1
67939,20260704,1
67940,20260703,1
67941,20260703,2
67942,20260704,2
109101,20260703,2
109102,20260703,2
109103,20260703,2
109104,20260704,2
109105,20260703,2
109106,20260703,2
109107,20260704,2
109108,20260704,2
109109,20260703,1
109110,20260704,2
109111,20260703,2
109112,20260704,2
109113,20260703,2
109114,20260704,2
109115,20260704,1
109116,20260703,2
109117,20260704,2
109118,20260703,2
109119,20260704,2
109120,20260703,2
109121,20260704,2
109122,20260703,2
109123,20260704,2
109124,20260703,2
109125,20260704,2
109126,20260703,2
109127,20260704,2
109128,20260703,2
109129,20260704,2
109130,20260703,2
109131,20260704,2
109132,20260703,2
109133,20260704,2
109134,20260703,2
109135,20260704,2
109136,20260703,2
109137,20260704,2
109138,20260704,1
109139,20260704,1
109140,20260703,1
109141,20260703,2
109142,20260704,2
209101,20260703,2
